Error History
Date,Time,Position,Level,Code,Content
May.31,17:55,EC,2,121,TP1 (Etching Chamber pump) backside pressure error.                         
,,,,,After abnormal backside pressure (VCS300/100 Pa) detected, did not          
,,,,,recover before Timeout.                                                     
May.31,17:58,EC,2,121,TP1 (Etching Chamber pump) backside pressure error.                         
,,,,,After abnormal backside pressure (VCS300/100 Pa) detected, did not          
,,,,,recover before Timeout.                                                     
May.31,17:58,EC,2,121,TP1 (Etching Chamber pump) backside pressure error.                         
,,,,,After abnormal backside pressure (VCS300/100 Pa) detected, did not          
,,,,,recover before Timeout.                                                     
May.31,18:25,EC,2,121,TP1 (Etching Chamber pump) backside pressure error.                         
,,,,,After abnormal backside pressure (VCS300/100 Pa) detected, did not          
,,,,,recover before Timeout.                                                     
May.31,18:25,EC,2,121,TP1 (Etching Chamber pump) backside pressure error.                         
,,,,,After abnormal backside pressure (VCS300/100 Pa) detected, did not          
,,,,,recover before Timeout.                                                     
Jun.1,3:14,EC,3,47,RF power generator status abnormal.                                         
,,,,,After power was turned ON, did not achieve normal state before Timeout      
Jun.1,3:15,EC,3,47,RF power generator status abnormal.                                         
,,,,,After power was turned ON, did not achieve normal state before Timeout      
Jun.1,3:16,EC,3,47,RF power generator status abnormal.                                         
,,,,,After power was turned ON, did not achieve normal state before Timeout      
Jun.1,3:38,EC,4,232,Cooling Gas Flowrate Error.                                                 
,,,,,During The Process Sequence,The Cooling Gas Flowrate Exceeded               
,,,,,The User-Set Limits.                                                        
Jun.1,4:0,EC,3,35,Etching power supply unit 200 VAC abnormal.                                 
,,,,,Power supply abnormality detected, did not recover before Timeout.          
Jun.1,4:5,EC,4,34,Etching power supply unit fan failure.                                      
,,,,,Fan failure detected (FAN51 to 53), did not recover before Timeout.         
Jun.1,4:10,EC,2,315,Etching power supply unit fan failure.                                      
,,,,,Fan failure detected (FAN51 to 53), did not recover before Timeout.         
Jun.1,5:25,EC,4,232,Cooling Gas Flowrate Error.                                                 
,,,,,During The Process Sequence,The Cooling Gas Flowrate Exceeded               
,,,,,The User-Set Limits.                                                        
Jun.1,10:15,Xfer,2,372,Transfer Robot/Cassette not detected.                                       
,,,,,The cassette was moved and the cassette sensor                              
,,,,,detected cassette missing.                                                  
Jun.6,6:44,EC,3,231,Plasma ON timeout error.                                                    
,,,,,Plasma did not turn ON before timeout.                                      
Jun.6,15:44,Xfer,2,545,Washer Error.                                                               
,,,,,An abnormal flow rate of the cup back rinse.                                
Jun.6,16:40,Xfer,2,154,Wafer clear completion timeout error.                                       
,,,,,Wafer clear completion signal from Washer was not received before           
,,,,,timeout.                                                                    
Jun.6,16:45,Xfer,2,154,Wafer clear completion timeout error.                                       
,,,,,Wafer clear completion signal from Washer was not received before           
,,,,,timeout.                                                                    
Jun.15,21:26,Xfer,5,902,It failed in the sending and receiving of the recipe between the Eq and WS. 
Jun.15,21:55,Xfer,5,905,Abnormality of the Washer recipe was detected.                              
,,,,,Because the Washer recipe was the disagreement between equipment and the    
,,,,,  Washer device, processing was not able to be started.                     
Jun.23,8:28,Xfer,5,902,It failed in the sending and receiving of the recipe between the Eq and WS. 
Jun.23,8:35,Xfer,5,905,Abnormality of the Washer recipe was detected.                              
,,,,,Because the Washer recipe was the disagreement between equipment and the    
,,,,,  Washer device, processing was not able to be started.                     
Jun.28,3:48,EC,3,47,RF power generator status abnormal.                                         
,,,,,After power was turned ON, did not achieve normal state before Timeout      
Jun.28,3:48,EC,2,121,TP1 (Etching Chamber pump) backside pressure error.                         
,,,,,After abnormal backside pressure (VCS300/100 Pa) detected, did not          
,,,,,recover before Timeout.                                                     
Jun.28,3:48,EC,3,211,Wafer cooling line evacuation timeout error 2.                              
,,,,,Wafer cooling line vacuum pressure (CMS346/ 50Pa) not detected before       
,,,,,Timeout.                                                                    
Jun.28,3:49,EC,3,205,Etching Chamber high vacuum evacuation timeout error.                       
,,,,,Vacuum pressure (PEGS358/0.005 Pa) not achieved before timeout.             
Jun.28,3:51,EC,2,50,P1 (Etching Chamber pump) heavy failure.                                    
,,,,,After failure detected, did not recover before Timeout.                     
Jun.28,5:16,EC,3,35,Etching power supply unit 200 VAC abnormal.                                 
,,,,,Power supply abnormality detected, did not recover before Timeout.          
Jun.28,5:21,EC,4,34,Etching power supply unit fan failure.                                      
,,,,,Fan failure detected (FAN51 to 53), did not recover before Timeout.         
Jun.28,5:26,EC,2,315,Etching power supply unit fan failure.                                      
,,,,,Fan failure detected (FAN51 to 53), did not recover before Timeout.         
Jun.28,5:29,EC,2,50,P1 (Etching Chamber pump) heavy failure.                                    
,,,,,After failure detected, did not recover before Timeout.                     
Jun.28,8:10,EC,2,56,Circulator Status Abnormal.                                                 
,,,,,After Power Was turned on,did not achieve normal status before Timeout.     
Jun.28,8:10,EC,2,69,Circulator 2 Status Abnormal.                                               
,,,,,After Power Was turned on,did not achieve normal status before Timeout.     
Jun.28,8:22,Xfer,2,41,P4(LL,UL pump) heavy failure.                                               
,,,,,Pump P4 failure detected, did not recover before Timeout.                   
Jun.28,8:25,Xfer,2,41,P4(LL,UL pump) heavy failure.                                               
,,,,,Pump P4 failure detected, did not recover before Timeout.                   
Jun.28,10:22,Xfer,5,97,Water leakage detected.                                                     
Jun.28,11:53,Xfer,2,137,Transfer robot/washer/wafer not detected.                                   
,,,,,When picking up wafer from washer, wafer not detected on robot arm.         
Jun.28,11:53,Xfer,2,73,Washer is In Local Mode.                                                    
Jun.28,11:53,Xfer,2,524,Washer Error.                                                               
,,,,,After communicating with the transfer microcomputer for unloading a wafer,  
,,,,,the wafer still exists on the hot plate.                                    
Jun.28,11:59,Xfer,2,154,Wafer clear completion timeout error.                                       
,,,,,Wafer clear completion signal from Washer was not received before           
,,,,,timeout.                                                                    
Jun.28,12:16,EC,2,57,TP1 (Etching Chamber pump) heavy failure.                                   
,,,,,After failure detected, did not recover before Timeout.                     
Jul.1,22:18,Xfer,2,372,Transfer Robot/Cassette not detected.                                       
,,,,,The cassette was moved and the cassette sensor                              
,,,,,detected cassette missing.                                                  
Jul.3,2:35,Xfer,5,902,It failed in the sending and receiving of the recipe between the Eq and WS. 
